Link,CSS Path,Is Feature?,Text,Feature Validation (Yes/No),Customer Type Validation,Hardware Component
https://kfactors.org/,"html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://kfactors.org#more""]:nth-child(1)",1,Features,,,
https://kfactors.org/,"html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://app.kfactors.org/demo""]:nth-child(2), html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://app.kfactors.org/demo""]:nth-child(2)",1,Demos,,,
https://kfactors.org/,"html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://kfactors.org/pricing/""]:nth-child(3), html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://kfactors.org/pricing/""]:nth-child(3)",1,Pricing,,,
https://kfactors.org/,"html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://kfactors.org/integrations/""]:nth-child(4), html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://kfactors.org/integrations/""]:nth-child(4)",1,Integrations,,,
https://kfactors.org/,"html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://kfactors.org/faq/""]:nth-child(5), html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://kfactors.org/faq/""]:nth-child(5)",1,FAQ,,,
https://kfactors.org/,"html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://kfactors.org/testimonials/""]:nth-child(6), html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://kfactors.org/testimonials/""]:nth-child(6)",1,Testimonials,,,
https://kfactors.org/,"html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://status.kfactors.org""]:nth-child(7), html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > div.nav.flex-column:nth-child(2) > a.nav-link[href=""https://status.kfactors.org""]:nth-child(7)",1,Status,,,
https://kfactors.org/,"html[lang=""en-US""]:nth-child(1) > body.home.page-template-default.page.page-id-35.wp-embed-responsive:nth-child(2) > footer.footer.pt-7.pb-7:nth-child(5) > div.container:nth-child(1) > div.row.gap-y:nth-child(1) > h6.mb-4.mt-1.fw-500:nth-child(1)",1,Product,,,
https://kfactors.org/,,0,html,,,
https://kfactors.org/,"html[lang=""en-US""]:nth-child(1) > head:nth-child(1) > meta[name=""robots""][content=""index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1""]:nth-child(4)",0,this site is optimized with the yoast seo plugin v19.2 - https://yoast.com/wordpress/plugins/seo/,,,
