Link,CSS Path,Is Feature?,Text,Feature Validation (Yes/No),Customer Type Validation,Hardware Component
https://snowfly.com/,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div.ocm-effect-wrap:nth-child(2) > div.ocm-effect-wrap-inner:nth-child(1) > div#header-outer:nth-child(3) > header#top:nth-child(2) > div.container:nth-child(1) > div.row:nth-child(1) > div.col.span_9.col_last:nth-child(2) > nav:nth-child(3) > ul.sf-menu.sf-js-enabled.sf-arrows:nth-child(1) > ul.sub-menu:nth-child(2) > li#menu-item-61.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-61:nth-child(1) > a[href=""https://snowfly.com/employee-gamification/""]:nth-child(1), html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div#slide-out-widget-area.slide-out-from-right:nth-child(3) > div.inner-wrap:nth-child(1) > div.inner:nth-child(1) > div.off-canvas-menu-container.mobile-only:nth-child(1) > ul.menu:nth-child(1) > ul.sub-menu:nth-child(2) > li.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-61:nth-child(1) > a[href=""https://snowfly.com/employee-gamification/""]:nth-child(1)",1,Employee Gamification,Yes (Gamification),,
https://snowfly.com/,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div.ocm-effect-wrap:nth-child(2) > div.ocm-effect-wrap-inner:nth-child(1) > div#header-outer:nth-child(3) > header#top:nth-child(2) > div.container:nth-child(1) > div.row:nth-child(1) > div.col.span_9.col_last:nth-child(2) > nav:nth-child(3) > ul.sf-menu.sf-js-enabled.sf-arrows:nth-child(1) > ul.sub-menu:nth-child(2) > li#menu-item-78528116.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-78528116:nth-child(2) > a[href=""https://snowfly.com/employee-engagement-surveys/""]:nth-child(1), html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div#slide-out-widget-area.slide-out-from-right:nth-child(3) > div.inner-wrap:nth-child(1) > div.inner:nth-child(1) > div.off-canvas-menu-container.mobile-only:nth-child(1) > ul.menu:nth-child(1) > ul.sub-menu:nth-child(2) > li.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-78528116:nth-child(2) > a[href=""https://snowfly.com/employee-engagement-surveys/""]:nth-child(1)",1,Employee Engagement Surveys,Yes (Employee Engagement),,
https://snowfly.com/,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div.ocm-effect-wrap:nth-child(2) > div.ocm-effect-wrap-inner:nth-child(1) > div#header-outer:nth-child(3) > header#top:nth-child(2) > div.container:nth-child(1) > div.row:nth-child(1) > div.col.span_9.col_last:nth-child(2) > nav:nth-child(3) > ul.sf-menu.sf-js-enabled.sf-arrows:nth-child(1) > ul.sub-menu:nth-child(2) > li#menu-item-67.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-67:nth-child(3) > a[href=""https://snowfly.com/speech-analytics/""]:nth-child(1), html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div#slide-out-widget-area.slide-out-from-right:nth-child(3) > div.inner-wrap:nth-child(1) > div.inner:nth-child(1) > div.off-canvas-menu-container.mobile-only:nth-child(1) > ul.menu:nth-child(1) > ul.sub-menu:nth-child(2) > li.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-67:nth-child(3) > a[href=""https://snowfly.com/speech-analytics/""]:nth-child(1)",1,Speech Analytics,Yes (Speech Analytics),,
https://snowfly.com/,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div.ocm-effect-wrap:nth-child(2) > div.ocm-effect-wrap-inner:nth-child(1) > div#header-outer:nth-child(3) > header#top:nth-child(2) > div.container:nth-child(1) > div.row:nth-child(1) > div.col.span_9.col_last:nth-child(2) > nav:nth-child(3) > ul.sf-menu.sf-js-enabled.sf-arrows:nth-child(1) > ul.sub-menu:nth-child(2) > li#menu-item-78527224.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-78527224:nth-child(4) > a[href=""https://snowfly.com/text-analytics-software/""]:nth-child(1), html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div#slide-out-widget-area.slide-out-from-right:nth-child(3) > div.inner-wrap:nth-child(1) > div.inner:nth-child(1) > div.off-canvas-menu-container.mobile-only:nth-child(1) > ul.menu:nth-child(1) > ul.sub-menu:nth-child(2) > li.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-78527224:nth-child(4) > a[href=""https://snowfly.com/text-analytics-software/""]:nth-child(1)",1,Text Analytics Software,Yes (Analytics),,
https://snowfly.com/,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div.ocm-effect-wrap:nth-child(2) > div.ocm-effect-wrap-inner:nth-child(1) > div#header-outer:nth-child(3) > header#top:nth-child(2) > div.container:nth-child(1) > div.row:nth-child(1) > div.col.span_9.col_last:nth-child(2) > nav:nth-child(3) > ul.sf-menu.sf-js-enabled.sf-arrows:nth-child(1) > ul.sub-menu:nth-child(2) > li#menu-item-78527249.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-78527249:nth-child(5) > a[href=""https://snowfly.com/video-analytics/""]:nth-child(1), html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div#slide-out-widget-area.slide-out-from-right:nth-child(3) > div.inner-wrap:nth-child(1) > div.inner:nth-child(1) > div.off-canvas-menu-container.mobile-only:nth-child(1) > ul.menu:nth-child(1) > ul.sub-menu:nth-child(2) > li.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-78527249:nth-child(5) > a[href=""https://snowfly.com/video-analytics/""]:nth-child(1)",1,Video Analytics,Yes (Analytics),,
https://snowfly.com/,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div.ocm-effect-wrap:nth-child(2) > div.ocm-effect-wrap-inner:nth-child(1) > div#header-outer:nth-child(3) > header#top:nth-child(2) > div.container:nth-child(1) > div.row:nth-child(1) > div.col.span_9.col_last:nth-child(2) > nav:nth-child(3) > ul.sf-menu.sf-js-enabled.sf-arrows:nth-child(1) > ul.sub-menu:nth-child(2) > li#menu-item-65.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-65:nth-child(6) > a[href=""https://snowfly.com/peer-recognition-and-manager-recognition/""]:nth-child(1), html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div#slide-out-widget-area.slide-out-from-right:nth-child(3) > div.inner-wrap:nth-child(1) > div.inner:nth-child(1) > div.off-canvas-menu-container.mobile-only:nth-child(1) > ul.menu:nth-child(1) > ul.sub-menu:nth-child(2) > li.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-65:nth-child(6) > a[href=""https://snowfly.com/peer-recognition-and-manager-recognition/""]:nth-child(1)",1,Effective Peer Recognition and Manager Recognition,,,
https://snowfly.com/,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div.ocm-effect-wrap:nth-child(2) > div.ocm-effect-wrap-inner:nth-child(1) > div#header-outer:nth-child(3) > header#top:nth-child(2) > div.container:nth-child(1) > div.row:nth-child(1) > div.col.span_9.col_last:nth-child(2) > nav:nth-child(3) > ul.sf-menu.sf-js-enabled.sf-arrows:nth-child(1) > ul.sub-menu:nth-child(2) > li#menu-item-69.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-69:nth-child(7) > a[href=""https://snowfly.com/employee-wellness-programs/""]:nth-child(1), html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div#slide-out-widget-area.slide-out-from-right:nth-child(3) > div.inner-wrap:nth-child(1) > div.inner:nth-child(1) > div.off-canvas-menu-container.mobile-only:nth-child(1) > ul.menu:nth-child(1) > ul.sub-menu:nth-child(2) > li.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-69:nth-child(7) > a[href=""https://snowfly.com/employee-wellness-programs/""]:nth-child(1)",1,Employee Wellness Programs,Yes (Employee Wellness),,
https://snowfly.com/,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div.ocm-effect-wrap:nth-child(2) > div.ocm-effect-wrap-inner:nth-child(1) > div#header-outer:nth-child(3) > header#top:nth-child(2) > div.container:nth-child(1) > div.row:nth-child(1) > div.col.span_9.col_last:nth-child(2) > nav:nth-child(3) > ul.sf-menu.sf-js-enabled.sf-arrows:nth-child(1) > ul.sub-menu:nth-child(2) > li#menu-item-58.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-58:nth-child(8) > a[href=""https://snowfly.com/employee-engagement-consulting/""]:nth-child(1), html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.home.page-template-default.page.page-id-23.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div#slide-out-widget-area.slide-out-from-right:nth-child(3) > div.inner-wrap:nth-child(1) > div.inner:nth-child(1) > div.off-canvas-menu-container.mobile-only:nth-child(1) > ul.menu:nth-child(1) > ul.sub-menu:nth-child(2) > li.menu-item.menu-item-type-post_type.menu-item-object-page.menu-item-58:nth-child(8) > a[href=""https://snowfly.com/employee-engagement-consulting/""]:nth-child(1)",1,Employee Incentives Consulting,Yes (Employee Incentives),,
https://snowfly.com/our-solutions,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > head:nth-child(1) > title:nth-child(9)",0.5,Our Solutions - Employee Engagement and Incentives,Yes (Employee Engagement),,
https://snowfly.com/our-solutions,"html.js.no-applicationcache.geolocation.history.postmessage.svg.websockets.localstorage.sessionstorage.websqldatabase.webworkers.hashchange.audio.canvas.canvastext.video.webgl.cssgradients.multiplebgs.opacity.rgba.inlinesvg.csspositionsticky.hsla.supports.svgclippaths.smil.fontface.generatedcontent.textshadow.indexeddb.indexeddb-deletedatabase.cssanimations.backgroundsize.borderimage.borderradius.boxshadow.csscolumns.csscolumns-width.csscolumns-span.csscolumns-fill.csscolumns-gap.csscolumns-rule.csscolumns-rulecolor.csscolumns-rulestyle.csscolumns-rulewidth.csscolumns-breakbefore.csscolumns-breakafter.csscolumns-breakinside.flexbox.flexboxlegacy.cssreflections.csstransforms.csstransforms3d.csstransitions.js_active.vc_desktop.vc_transform.vc_transform.page-trans-loaded[lang=""en-US""][prefix=""og: https://ogp.me/ns#""]:nth-child(1) > body.page-template-default.page.page-id-25.ctct-salient.material.wpb-js-composer.vc_responsive:nth-child(2) > div.ocm-effect-wrap:nth-child(2) > div.ocm-effect-wrap-inner:nth-child(1) > div#ajax-content-wrap:nth-child(4) > div.container-wrap:nth-child(1) > div.container.main-content:nth-child(1) > div.row:nth-child(1) > div#fws_62f33626a5927.wpb_row.vc_row-fluid.vc_row.top-level.full-width-section.standard_section.first-section.loaded:nth-child(1) > div.col.span_12.dark.left:nth-child(2) > div.vc_col-sm-12.wpb_column.column_container.vc_column_container.col.no-extra-padding.instance-0:nth-child(1) > div.vc_column-inner:nth-child(2) > div.wpb_wrapper:nth-child(1) > div#team.wpb_row.vc_row-fluid.vc_row.inner_row.standard_section:nth-child(1) > div.col.span_12.left:nth-child(2) > div.vc_col-sm-12.wpb_column.column_container.vc_column_container.col.centered-text.no-extra-padding.instance-1:nth-child(1) > div.vc_column-inner:nth-child(2) > div.wpb_wrapper:nth-child(1) > h3.vc_custom_heading:nth-child(1)",0.5,"Gamification, Analytics, & Incentive Programs",Yes (Gamification)(Analytics)(Incentive Programs),,
